item	image
28039645	Claude%20Monet%20-%20The%20Windmill%20on%20the%20Onbekende%20Gracht%2C%20Amsterdam%20-%2098.293%20-%20Museum%20of%20Fine%20Arts%2C%20Houston.jpg
941549	Claude%20Monet%20La%20Grenouill%C3%A9re.jpg
17495944	Trophies-of-the-hunt-Monet.jpg
19199277	Claude%20Monet%20-%20V%C3%A9theuil%20-%20Google%20Art%20Project.jpg
50772899	Monet%20-%20Das%20blaue%20Haus%20in%20Zaandam.jpg
65035057	Claude%20Monet%20-%20Le%20bateau-atelier%20-%20MAH%20Neuch%C3%A2tel.jpg
17492002	Monet%20-%20Wildenstein%201996%2C%20242.png
116143411	Monet%20-%20Maisons%20%C3%A0%20Falaise%2C%20brouillard.jpg
50775646	MuMA%20-%20Monet%20-%20Soleil%20d%27hiver%20%C3%A0%20Lavacourt.jpg
98447007	Monet%20-%20Charing%20Cross%20Bridge%20-%20Shelburne.jpg
87368194	Monet%20-%20Nymph%C3%A9as%20%28Water%20Lilies%29%2C%201907.jpg
96198879	Monet%20-%20Wildenstein%201996%2C%201506.jpg
50697752	Monet%20-%20Unter%20Zitronenb%C3%A4umen.jpg
67585046	Monet%20w1524.jpg
17491281	Claude%20Monet%20-%20Wind%20Effect%2C%20Series%20of%20The%20Poplars%20-%20Google%20Art%20Project.jpg
7548371	Monet%20Snow%20at%20Argenteuil%201875.jpg
79139231	Claude%20Monet%20-%20Poplars%2C%20Pink%20Effect%20-%202019.67.14.McD%20-%20Dallas%20Museum%20of%20Art.jpg
50415974	Monet-Barque-Marmottan.jpg
106697989	Monet%20-%20La%20Seine%20%C3%A0%20Argenteuil%20-%20SFMOMA.jpg
50415949	Claude%20Monet%20Nympheas%20Marmottan.jpg
42882613	Monet%20-%20Waterloo%20Bridge%2C%20London%2C%201903.jpg
84243169	Waterlillies%20by%20Claude%20Monet%20c%201914%20-%20Portland%20Art%20Museum.JPG
20180920	Houses%20on%20the%20Achterzaan%20MET%20DT719.jpg
108479179	MB-Mon-23%20Monet%20Unter-den-Pappeln%201.jpg
20269469	Claude%20Monet%20-%20V%C3%A9theuil%20-%201933.1161%20-%20Art%20Institute%20of%20Chicago.jpg
17436675	Claude%20Monet%20-%20Rouen%20Cathedral%2C%20Facade%20I.jpg
78749603	Claude%20Monet%20-%20Water%20Lilies%20-%20134-1956%20-%20Saint%20Louis%20Art%20Museum.jpg
20538895	Claude%20Monet%20-%20Flower%20Beds%20at%20V%C3%A9theuil%20-%20Google%20Art%20Project.jpg
67197623	Monet%20-%20The%20Pool%20of%20London%2C%20NMW%20A%202486.jpg
50807667	Monet%20-%20Wald%20von%20Fontainbleau.jpeg
117435199	Monet%20w1443.jpg
90598726	Monet%20-%20The%20Church%20V%C3%A9theuil.jpg
