item	image
http://www.wikidata.org/entity/Q17002537	http://commons.wikimedia.org/wiki/Special:FilePath/L%27Enfant%20a%20la%20tasse%2C%20portrait%20de%20Jean%20Monet.jpg
http://www.wikidata.org/entity/Q17324913	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20La%20Corniche%20near%20Monaco%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q17331228	http://commons.wikimedia.org/wiki/Special:FilePath/Bloemen%20Rijksmuseum%20SK-A-2933.jpeg
http://www.wikidata.org/entity/Q17436665	http://commons.wikimedia.org/wiki/Special:FilePath/Rouen%20Cathedral%20Sunlight%20W1322.jpg
http://www.wikidata.org/entity/Q17436669	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%2C%20West%20Facade%2C%20Sunlight.jpg
http://www.wikidata.org/entity/Q17436671	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%20-%20The%20Portal%20%28Sunlight%29.jpg
http://www.wikidata.org/entity/Q17436673	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%2C%20Facade%20%28Sunset%29.JPG
http://www.wikidata.org/entity/Q17436674	http://commons.wikimedia.org/wiki/Special:FilePath/Rouen%20Cathedrale%20Monet%20Belgrade%20W1329.jpg
http://www.wikidata.org/entity/Q17436675	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%2C%20Facade%20I.jpg
http://www.wikidata.org/entity/Q17436676	http://commons.wikimedia.org/wiki/Special:FilePath/Rouen%20Cathedral-%20Setting%20Sun%2C%20Symphony%20in%20Grey%20and%20Pink.jpg
http://www.wikidata.org/entity/Q17436678	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20The%20Cathedral%20in%20Rouen.%20The%20portal%2C%20Grey%20Weather%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q17436681	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%2C%20Facade%20%28Morning%20effect%29.JPG
http://www.wikidata.org/entity/Q17436682	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20The%20Portal%20of%20Rouen%20Cathedral%20in%20Morning%20Light%20%281894%29%20-%20Getty%20Center%202001.33.jpg
http://www.wikidata.org/entity/Q17436685	http://commons.wikimedia.org/wiki/Special:FilePath/Portail%20effet%20de%20matin%20W1353.jpg
http://www.wikidata.org/entity/Q17436686	http://commons.wikimedia.org/wiki/Special:FilePath/Monet-RouenKathedrale%20von%20Rouen%20DSC8884.jpg
http://www.wikidata.org/entity/Q17436687	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%2C%20West%20Facade.jpg
http://www.wikidata.org/entity/Q17436689	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20La%20cath%C3%A9drale%20de%20Rouen%2C%20le%20portail.jpg
http://www.wikidata.org/entity/Q17436692	http://commons.wikimedia.org/wiki/Special:FilePath/Rouen%20Cathedral%20Portal%20W1359.jpg
http://www.wikidata.org/entity/Q17436693	http://commons.wikimedia.org/wiki/Special:FilePath/Rouen%20Cathedral%20W1361.jpg
http://www.wikidata.org/entity/Q17436694	http://commons.wikimedia.org/wiki/Special:FilePath/Rouen-cathedral-fog%20W1349.jpg
http://www.wikidata.org/entity/Q17436696	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%20Fa%C3%A7ade%20and%20Tour%20d%27Albane%20%28Morning%20Effect%29%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q17436696	http://commons.wikimedia.org/wiki/Special:FilePath/Rouen%20Cathedral%20Fa%C3%A7ade%20and%20Tour%20d%27Albane%20%28Morning%20Effect%29%20SC197957.jpg
http://www.wikidata.org/entity/Q17436697	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%2C%20Facade%20and%20Tour%20d%27AlbaneI.JPG
http://www.wikidata.org/entity/Q17436706	http://commons.wikimedia.org/wiki/Special:FilePath/Monet-cathedrale-rouen.jpg
http://www.wikidata.org/entity/Q17490740	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Argenteuil%2C%201872.jpg
http://www.wikidata.org/entity/Q17490850	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Bateaux%20de%20plaisance%2C%20Argenteuil%2C%201872-1873.jpg
http://www.wikidata.org/entity/Q17490875	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Wildenstein%201996%2C%20619.png
http://www.wikidata.org/entity/Q17490991	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Champ%20de%20coquelicots%20%3B%20environs%20de%20Giverny%2C%201885.jpg
http://www.wikidata.org/entity/Q17490992	http://commons.wikimedia.org/wiki/Special:FilePath/Champs%20de%20Tulipes%20de%20Claude%20Monet.jpg
